chainage_m,x_m,y_m,lon,lat,elevation_m,elevation_smooth_m,dem_source
3571.5455611177613,353880.5447328064,6353956.102256228,25.43690253709583,-32.94292694722738,692.0,692.0,OpenTopoData srtm30m
3601.545561117549,353907.10564480163,6353942.155286881,25.437184365241418,-32.94305626209212,693.0,692.0,OpenTopoData srtm30m
3631.4754426462173,353934.561135651,6353930.239170461,25.43747608299887,-32.943167383607495,692.0,693.0,OpenTopoData srtm30m
3661.475442646257,353962.77997076,6353920.055981123,25.437776239557813,-32.94326298057637,693.0,693.0,OpenTopoData srtm30m
3691.473433935604,353990.7378162825,6353909.182234982,25.438073496260316,-32.943364768763175,693.0,693.0,OpenTopoData srtm30m
3720.5560659126536,354018.8210903934,6353901.623849048,25.438372620638567,-32.943436678099005,693.0,693.0,OpenTopoData srtm30m
3750.5560659127796,354047.7273860539,6353909.6504343245,25.43868301737061,-32.94336816549174,693.0,693.0,OpenTopoData srtm30m
3780.4852505629538,354076.4963993882,6353917.902704654,25.438991981323127,-32.943297598727916,692.0,692.0,OpenTopoData srtm30m
3810.4852505629788,354096.9161464436,6353939.880737555,25.439213832757964,-32.94310214905192,690.0,690.0,OpenTopoData srtm30m
3840.4761434496145,354116.8220266687,6353962.3130711075,25.439430259921394,-32.94290253382257,690.0,690.0,OpenTopoData srtm30m
3870.476143449389,354136.13113979955,6353985.272995979,25.43964038789737,-32.94269808112506,691.0,691.0,OpenTopoData srtm30m
3900.3511924884183,354158.0947953844,6354005.5243265135,25.43987847333433,-32.942518406243,693.0,693.0,OpenTopoData srtm30m
3930.351192488678,354181.43922717404,6354024.366765433,25.440131100572284,-32.94235161937564,693.0,693.0,OpenTopoData srtm30m
3960.307453336669,354207.1096715281,6354039.807162146,25.440408062310375,-32.94221581908715,693.0,693.0,OpenTopoData srtm30m
3989.9556532250417,354231.6768247087,6354056.404473411,25.44067340791546,-32.94206943886118,692.0,692.0,OpenTopoData srtm30m
4019.955653224618,354250.06747969525,6354080.106452424,25.440873826674387,-32.94185817013576,692.0,692.0,OpenTopoData srtm30m
4049.9484289837337,354270.12997117906,6354102.401362902,25.44109190010102,-32.94165981184784,691.0,691.0,OpenTopoData srtm30m
4079.9482923849573,354290.4413333699,6354124.4794146735,25.44131259960808,-32.94146344178926,689.0,689.0,OpenTopoData srtm30m
4109.762402725096,354306.24161421956,6354149.762458407,25.44148556474808,-32.94123756971227,689.0,689.0,OpenTopoData srtm30m
4139.750680849798,354319.6722858928,6354176.575027909,25.44163343097799,-32.94099758935654,690.0,689.0,OpenTopoData srtm30m
4169.75068085017,354332.3547735364,6354203.762424018,25.441773354816636,-32.94075412914283,689.0,689.0,OpenTopoData srtm30m
4199.750511495028,354344.5630900722,6354231.165833406,25.44190824139819,-32.94050865768272,688.0,688.0,OpenTopoData srtm30m
4229.722078862136,354354.88897303125,6354259.302481955,25.442023113086705,-32.94025632330125,687.0,688.0,OpenTopoData srtm30m
4259.642670409864,354363.643266084,6354287.913741132,25.442121253165354,-32.93999949959279,688.0,688.0,OpenTopoData srtm30m
4289.64267041005,354366.54205552355,6354317.773363029,25.442156973704154,-32.9397306383479,689.0,689.0,OpenTopoData srtm30m
4319.632348077325,354368.4257678617,6354347.703822337,25.442181850410112,-32.93946100297236,689.0,689.0,OpenTopoData srtm30m
4349.570172877203,354371.0070256731,6354377.530160729,25.442214169685844,-32.93919239945775,689.0,689.0,OpenTopoData srtm30m
4379.570172876643,354376.4092081434,6354407.039759583,25.442276604185697,-32.93892702812384,690.0,690.0,OpenTopoData srtm30m
4409.5666117200735,354388.80579882604,6354434.354789928,25.44241348574152,-32.938682377952325,690.0,690.0,OpenTopoData srtm30m
4439.437223169519,354397.45683411503,6354462.945225685,25.442510515301684,-32.938425727791106,690.0,690.0,OpenTopoData srtm30m
4469.426532852967,354404.7970623805,6354492.022360074,25.442593604224435,-32.938164514171056,690.0,690.0,OpenTopoData srtm30m
4499.417845298212,354413.124970872,6354520.834245857,25.442687212331602,-32.937905823903385,689.0,689.0,OpenTopoData srtm30m
4529.417845298847,354418.05562979286,6354550.426281992,25.442744615230843,-32.937639646015185,688.0,688.0,OpenTopoData srtm30m
4559.361360515122,354426.5692200005,6354579.133996727,25.442840191372934,-32.93738191965491,688.0,688.0,OpenTopoData srtm30m
4589.360293079525,354435.764401587,6354607.68893659,25.442943031234055,-32.937125661621025,688.0,688.0,OpenTopoData srtm30m
4619.360293078911,354444.6819284646,6354636.332918757,25.443042915514734,-32.93686856356841,688.0,688.0,OpenTopoData srtm30m
4649.349896925874,354452.91087295633,6354665.171448737,25.443135466769746,-32.93660961939124,688.0,688.0,OpenTopoData srtm30m
4679.349896925334,354460.3010544896,6354694.246957622,25.44321908585164,-32.936348426490134,688.0,688.0,OpenTopoData srtm30m
4709.242728058182,354456.01932523923,6354723.831550702,25.443177975290943,-32.93608108785522,688.0,688.0,OpenTopoData srtm30m
4738.830128683151,354445.1068217797,6354751.33303328,25.443065632085904,-32.93583164931922,689.0,689.0,OpenTopoData srtm30m
4768.830128682879,354430.58507393167,6354777.58410639,25.44291449788798,-32.93559300480893,689.0,689.0,OpenTopoData srtm30m
4798.707277662716,354420.2195765719,6354805.605535612,25.44280808733953,-32.93533895053389,688.0,688.0,OpenTopoData srtm30m
4828.707277662251,354411.35213791206,6354834.265063375,25.44271779701755,-32.9350793420244,686.0,686.0,OpenTopoData srtm30m
4858.697953854337,354403.508728474,6354863.211938627,25.442638502557354,-32.93481727889651,686.0,686.0,OpenTopoData srtm30m
4888.662196956293,354395.67532632255,6354892.134139017,25.442559311642086,-32.93455543955195,686.0,686.0,OpenTopoData srtm30m
4918.662196956238,354383.9601988113,6354919.752172752,25.44243840796292,-32.93430484256137,686.0,686.0,OpenTopoData srtm30m
4946.437733081129,354375.7931387774,6354946.299856972,25.442355274891298,-32.93406436994028,687.0,687.0,OpenTopoData srtm30m
4976.437733081287,354400.82703122636,6354962.8317724345,25.442625572999408,-32.93391863646335,687.0,687.0,OpenTopoData srtm30m
