dam_idx,water_start_idx,crest_elevation_m,ponded_length_m,mean_centreline_depth_m,max_centreline_depth_m,upstream_bed_rise_m,dam_chainage_m,lon,lat,bed_elevation_m
60,32,705.5,827.9395232575566,1.765914780716431,3.5,1.0,1755.9873447067894,25.42604726471752,-32.93270297704496,704.0
477,450,640.5,807.9912646086996,3.8142312724080956,7.5,1.0,14206.636696633475,25.476160271585147,-32.97051913172283,639.0
348,321,662.5,806.0019793595311,1.296396526710083,2.5,1.0,10343.105317362686,25.4516827472663,-32.96630658116037,661.0
232,205,682.5,805.7064735255335,2.7390382356174707,5.5,1.0,6889.7274620581375,25.454722976838227,-32.94219601779494,681.0
478,452,639.5,778.240486537079,2.979637174895342,6.5,1.0,14236.636696633603,25.476136083945136,-32.970788907331375,638.0
476,450,640.5,778.0872358760262,3.903173533986551,7.5,1.0,14176.732667900802,25.476160147058994,-32.970249452268625,639.0
347,321,662.5,776.0019793594201,1.2885252784901207,2.5,1.0,10313.105317362575,25.45139753754639,-32.96643063802431,661.0
231,205,682.5,775.7768477723857,2.7868405782529293,5.5,1.0,6859.79783630499,25.45440539044503,-32.94222977900216,681.0
51,25,706.5,757.7267342947373,2.0606680329023788,3.5,1.0,1486.6705832142127,25.424784079663226,-32.930572290458954,705.0
230,205,682.5,745.7768477723312,2.838605683945032,5.5,1.0,6829.797836304935,25.45409736037303,-32.94230549959676,681.0
50,25,706.5,727.7746498874071,2.083742725389375,3.5,1.0,1456.7184988068825,25.42466863451316,-32.93032033608431,705.0
229,205,683.5,715.7768477723321,3.9156662520397036,6.5,0.0,6799.797836304936,25.45378932980462,-32.9423812194152,682.0
87,63,702.5,715.1816186906508,1.913463595774997,3.5,0.0,2561.0224417043887,25.429899756068334,-32.93820886994538,701.0
340,316,663.5,713.870829184867,1.8826666537573944,3.5,0.0,10104.971830654174,25.449419311604935,-32.966189294590734,662.0
161,138,690.5,688.8818362979218,1.760797471561045,2.5,0.0,4768.830128682879,25.44291449788798,-32.93559300480893,689.0
344,321,662.5,686.8578200687734,1.174347622483246,2.5,1.0,10223.961158071928,25.450494149024408,-32.96666963796751,661.0
228,205,683.5,685.776847772333,4.021342009097702,6.5,0.0,6769.797836304937,25.45348129873981,-32.94245693845748,682.0
86,63,702.5,685.4570280779894,1.9313932917504133,3.5,0.0,2531.2978510917274,25.4295891588972,-32.938151779786544,701.0
339,316,663.5,684.3472553444935,1.8991753591262321,3.5,0.0,10075.448256813801,25.449208229525446,-32.96599123982478,662.0
160,138,690.5,658.8818362981938,1.7726720197967618,2.5,0.0,4738.830128683151,25.443065632085904,-32.93583164931922,689.0
343,321,662.5,656.8578200687243,1.1594744322325818,2.5,1.0,10193.96115807188,25.450175935208645,-32.96663444405064,661.0
227,205,682.5,655.816226307963,3.113685962106524,5.5,1.0,6739.837214840567,25.453161607819176,-32.94247531195104,681.0
85,63,702.5,655.4570280779931,1.9511379862126272,3.5,0.0,2501.297851091731,25.42926869530496,-32.93813875461069,701.0
338,316,663.5,654.3472553437805,1.9174764380660072,3.5,0.0,10045.448256813088,25.449074376786637,-32.965745350138334,662.0
400,379,652.5,628.9368776933843,3.0960292156506366,5.5,1.0,11901.421452013528,25.464115985631228,-32.957277034514846,651.0
300,279,670.5,628.7807927965332,1.9048289091757202,3.5,1.0,8911.915103180918,25.450470183428546,-32.95709698180543,669.0
342,321,662.5,627.8525472906131,1.1437429726348822,2.5,1.0,10164.955885293768,25.44987526449162,-32.96656978962777,661.0
